2024-10-21T13:38:51.737-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2024-10-21T13:38:51.741-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2024-10-21T13:38:51.754-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2024-10-21T13:38:51.766-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2024-10-21T13:38:51.776-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'poisApiApplication'
2024-10-21T13:38:51.782-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'poiController'
2024-10-21T13:38:51.792-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'poiService'
2024-10-21T13:38:51.794-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'poiRepository'
2024-10-21T13:38:51.801-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongo.named-queries#0'
2024-10-21T13:38:51.805-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongodb.PoiRepository.fragments#0'
2024-10-21T13:38:51.808-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoTemplate'
2024-10-21T13:38:51.811-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.mongo.MongoDatabaseFactoryDependentConfiguration'
2024-10-21T13:38:51.814-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoDatabaseFactory'
2024-10-21T13:38:51.816-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.mongo.MongoDatabaseFactoryConfiguration'
2024-10-21T13:38:51.820-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongo'
2024-10-21T13:38:51.821-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.mongo.MongoAutoConfiguration'
2024-10-21T13:38:51.830-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoClientSettings'
2024-10-21T13:38:51.831-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.mongo.MongoAutoConfiguration$MongoClientSettingsConfiguration'
2024-10-21T13:38:51.875-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mongo' via factory method to bean named 'mongoClientSettings'
2024-10-21T13:38:51.878-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'standardMongoSettingsCustomizer'
2024-10-21T13:38:51.881-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.data.mongodb-org.springframework.boot.autoconfigure.mongo.MongoProperties'
2024-10-21T13:38:51.886-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
2024-10-21T13:38:51.903-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoConnectionDetails'
2024-10-21T13:38:51.904-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mongoConnectionDetails' via factory method to bean named 'spring.data.mongodb-org.springframework.boot.autoconfigure.mongo.MongoProperties'
2024-10-21T13:38:51.907-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'standardMongoSettingsCustomizer' via factory method to bean named 'spring.data.mongodb-org.springframework.boot.autoconfigure.mongo.MongoProperties'
2024-10-21T13:38:51.907-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'standardMongoSettingsCustomizer' via factory method to bean named 'mongoConnectionDetails'
2024-10-21T13:38:51.911-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslBundleRegistry'
2024-10-21T13:38:51.912-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration'
2024-10-21T13:38:51.914-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2024-10-21T13:38:51.918-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2024-10-21T13:38:51.920-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslPropertiesSslBundleRegistrar'
2024-10-21T13:38:51.922-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'fileWatcher'
2024-10-21T13:38:51.924-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'sslPropertiesSslBundleRegistrar' via factory method to bean named 'fileWatcher'
2024-10-21T13:38:52.090-06:00 DEBUG 4184 --- [pois-api] [restartedMain] org.mongodb.driver.connection            : Connection pool created for localhost:27017 using options maxIdleTimeMS=0, minPoolSize=0, maxPoolSize=100, maxConnecting=2, waitQueueTimeoutMS=120000
2024-10-21T13:38:52.100-06:00 DEBUG 4184 --- [pois-api] [restartedMain] org.mongodb.driver.cluster               : Updating cluster description to  {type=UNKNOWN, servers=[{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]
2024-10-21T13:38:52.118-06:00  INFO 4184 --- [pois-api] [restartedMain] org.mongodb.driver.client                : MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.6+10"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3ca65dd4, com.mongodb.Jep395RecordCodecProvider@227daa5a, com.mongodb.KotlinCodecProvider@1b8ba555]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-10-21T13:38:52.121-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mongoDatabaseFactory' via factory method to bean named 'mongo'
2024-10-21T13:38:52.122-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mongoDatabaseFactory' via factory method to bean named 'spring.data.mongodb-org.springframework.boot.autoconfigure.mongo.MongoProperties'
2024-10-21T13:38:52.125-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mongoDatabaseFactory' via factory method to bean named 'mongoConnectionDetails'
2024-10-21T13:38:52.130-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mappingMongoConverter'
2024-10-21T13:38:52.130-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.mongo.MongoDataConfiguration'
2024-10-21T13:38:52.131-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoMappingContext'
2024-10-21T13:38:52.133-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mongoCustomConversions'
2024-10-21T13:38:52.145-06:00  INFO 4184 --- [pois-api] [cluster-ClusterId{value='6716adcc4986254fc80f4202', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=19668501}
2024-10-21T13:38:52.148-06:00 DEBUG 4184 --- [pois-api] [cluster-ClusterId{value='6716adcc4986254fc80f4202', description='null'}-localhost:27017] org.mongodb.driver.connection            : Connection pool ready for localhost:27017
2024-10-21T13:38:52.154-06:00 DEBUG 4184 --- [pois-api] [cluster-ClusterId{value='6716adcc4986254fc80f4202', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Updating cluster description to  {type=STANDALONE, servers=[{address=localhost:27017, type=STANDALONE, roundTripTime=19.7 ms, state=CONNECTED}]
2024-10-21T13:38:52.154-06:00 DEBUG 4184 --- [pois-api] [cluster-ClusterId{value='6716adcc4986254fc80f4202', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Checking status of localhost:27017
2024-10-21T13:38:52.215-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.util.Locale to class java.lang.String as writing converter
2024-10-21T13:38:52.217-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.Character to class java.lang.String as writing converter
2024-10-21T13:38:52.218-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.math.BigDecimal to class java.lang.String as writing converter
2024-10-21T13:38:52.219-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.math.BigDecimal to class org.bson.types.Decimal128 as writing converter
2024-10-21T13:38:52.219-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.String to class java.math.BigDecimal as reading converter
